ma_truong,ten_truong,dia_diem,ma_nganh,ten_nganh,diem,to_hop_mon,nam
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH-E11,Chương trình tiên tiến Kỹ thuật Hóa dược,26.5,"A00, B00, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS-E3,Chương trình tiên tiến KHKT Vật liệu,23.18,"A00, A01, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E4,Chương trình tiên tiến Điện tử - Viễn thông,27.15,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E13,Chương trình tiên tiến Phân tích kinh doanh,25.03,"A01, D01, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-E1,Chương trình tiên tiến Cơ điện tử,26.75,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E10,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo,28.65,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,25.94,"A00, B00, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E9,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,27.51,"A00, A01, D28",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE-E2,Chương trình tiên tiến Kỹ thuật Ô tô,26.75,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-E5,Chương trình tiên tiến Kỹ thuật Y sinh,26.5,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM-E14,Chương trình tiên tiến Logistics và Quản lý chuỗi cung ứng,25.85,"A01, D01, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-E8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,27.43,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-GU,Cơ khí - Chế tạo máy - ĐH Griffith (Úc),23.9,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE-EP,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),23.88,"A00, A01, D29",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-NUT,Cơ điện tử - ĐH Nagaoka (Nhật Bản),24.5,"A00, A01, D28",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME-LUH,Cơ điện tử - ĐH Leibniz Hannover (Đức),24.2,"A00, A01, D26",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ED2,Công nghệ giáo dục,23.8,"A00, A01, D01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E7,Công nghệ thông tin ICT,28.38,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-E6,Công nghệ thông tin Việt-Nhật,27.98,"A00, A01, D28",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT-EP,Công nghệ thông tin (Việt - Pháp),27.24,"A00, A01, D29",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (Đức),23.85,"A00, A01, D26",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MI2,Hệ thống thông tin quản lý,27.25,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH2,Hóa học,24.16,"A00, B00, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM4,Kế toán,25.3,"A00, A01, D01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TROY-IT,Khoa học máy tính - ĐH Troy (Hoa Kỳ),25.0,"A00, A01, D01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT1,Khoa học Máy tính,29.04,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE1,Kỹ thuật Ô tô,27.33,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE3,Kỹ thuật Hàng không,26.94,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,PH2,Kỹ thuật hạt nhân,24.7,"A00, A01, A02",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME1,Kỹ thuật Cơ điện tử,27.48,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,IT2,Kỹ thuật Máy tính,28.65,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,HE1,Kỹ thuật Nhiệt,25.8,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE1,Kỹ thuật Điện,27.01,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TX1,Kỹ thuật Dệt,23.04,"A00, A01, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ME2,Kỹ thuật Cơ khí,26.51,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EV1,Kỹ thuật Môi trường,23.85,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE2,Kỹ thuật Điều khiển - Tự động hóa,23.8,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,CH1,Kỹ thuật Hóa học,25.26,"A00, B00, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,ET1,Kỹ thuật Điện tử - Viễn thông,27.3,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TE2,Kỹ thuật Cơ khí động lực,26.46,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF2,Kỹ thuật Thực phẩm,26.6,"A00, B00, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,BF1,Kỹ thuật Sinh học,26.2,"A00, B00, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MS1,Kỹ thuật Vật liệu,25.18,"A00, A01, D07",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM2,Quản lý công nghiệp,25.05,"A00, A01, D01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,TROY-BA,Quản trị kinh doanh - ĐH Troy (Hoa Kỳ),22.5,"A00, A01, D01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM3,Quản trị kinh doanh,25.75,"A00, A01, D01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EM5,Tài chính - Ngân hàng,24.6,"A00, A01, D01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,FL2,Tiếng Anh chuyên nghiệp quốc tế,24.1,D01,2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,FL1,Tiếng Anh KHKT và Công nghệ,24.1,D01,2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,MI1,Toán-Tin,27.56,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,EE-EP,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),25.68,"A00, A01",2020
BKA,Đại học Bách khoa Hà Nội,Hà Nội,PH1,Vật lý kỹ thuật,26.18,"A00, A01",2020
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH02,Kinh doanh quốc tế và Quản trị kinh doanh,27.95,A00,2020
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH05,Ngôn ngữ Pháp,34.8,D01,2020
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH04,Ngôn ngữ Anh,36.25,D01,2020
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH07,Ngôn ngữ Nhật,33.9,D01,2020
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH01-02,Nhóm ngành Kinh tế; Kinh tế quốc tế,28.0,A00,2020
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH01-01,Nhóm ngành luật,26.5,A00,2020
NTH,Đại học Ngoại thương (phía Bắc),Hà Nội,NTH03,Tài chính - Ngân hàng và Kế toán,27.65,A00,2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340204,Bảo hiểm,26.0,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340116,Bất động sản,26.55,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP09,Công nghệ tài chính (BFT),25.75,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480201,Công nghệ thông tin,26.6,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP10,Đầu tư tài chính (BFI - tiếng Anh hệ số 2),34.55,"A01, D01, D07, D10",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP02,Định phí Bảo hiểm & Quản trị rủi ro (Actuary) học bằng tiếng Anh,25.85,"A01, D01, D07, D09",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340405,Hệ thống thông tin,26.75,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340301,Kế toán,27.15,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP04,Kế toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),26.5,"A01, D01, D07, D09",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP03,Khoa học dữ liệu trong Kinh tế & Kinh doanh (DSEB),25.8,"A01, D01, D07, D09",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340401,Khoa học quản lý,26.25,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7480101,Khoa học máy tính,26.4,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP01,Khởi nghiệp và phát triển kinh doanh (BBAE) học bằng tiếng Anh (tiếng Anh hệ số 2),33.55,"A01, D01, D07, D09",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340302,Kiểm toán,27.55,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP12,Kiểm toán tích hợp chứng chỉ quốc tế (AUD-ICAEW),26.65,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310106,Kinh tế quốc tế,27.75,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7850102,Kinh tế tài nguyên thiên nhiên,25.6,"A00, A01, B00, D01",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340121,Kinh doanh thương mại,27.25,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP05,Kinh doanh số (E-BDB),26.1,"A01, D01, D07, D09",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310104,Kinh tế đầu tư,27.05,"A00, A01, B00, D01",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP13,Kinh tế học tài chính (FE),24.5,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7620115,Kinh tế nông nghiệp,25.65,"A00, A01, B00, D01",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310105,Kinh tế phát triển,26.75,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế (LSIC),35.55,"A01, D01, D07, D10",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7510605,Logistics và Quản lý chuỗi cung ứng,28.0,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7380107,Luật kinh tế,26.65,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340115,Marketing,27.55,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340120,Ngành Kinh doanh quốc tế,27.8,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7380101,Ngành Luật,26.2,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7220201,Ngôn ngữ Anh,35.6,"A01, D01, D09, D10",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP06,Phân tích kinh doanh (BA),26.3,"A01, D01, D07, D09",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EPMP,Quản lý công và chính sách học bằng tiếng Anh (EPMP),25.35,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP07,Quản trị điều hành thông minh (E-SOM),26.0,"A01, D01, D07, D10",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340403,Quản lý công,26.15,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7320108,Quan hệ công chúng,27.6,"A01, C03, C04, D01",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP11,Quản trị khách sạn quốc tế (IHME - tiếng Anh hệ số 2),24.5,"A01, D01, D09, D10",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7850101,Quản lý tài nguyên và môi trường,25.6,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340409,Quản lý dự án,26.75,"A00, A01, B00, D01",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EP08,Quản trị chất lượng và Đổi mới (E-MQI),25.75,"A01, D01, D07, D10",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,26.7,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340404,Quản trị nhân lực,27.1,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340101,Quản trị Kinh doanh,27.2,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,EBBA,Quản trị kinh doanh học bằng tiếng Anh (EBBA),26.25,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7850103,Quản lý đất đai,25.85,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7810201,Quản trị khách sạn,27.25,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310107,Thống kê kinh tế,26.45,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7340122,Thương mại điện tử,27.65,"A00, A01, D01, D07",2020
KHA,Đại học Kinh tế quốc dân,Hà Nội,7310108,Toán kinh tế,26.45,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM22,Hệ thống thông tin quản lý (Quản trị hệ thống thông tin kinh tế),25.25,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM26,Hệ thống thông tin quản lý (Quản trị hệ thống thông tin) - Cơ chế đặc thù,24.25,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM09,Kế toán (Kế toán công),24.9,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM08,Kế toán (Kế toán doanh nghiệp)-Chất lượng cao,24.0,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM07,Kế toán (Kế toán doanh nghiệp),26.0,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM10,Kiểm toán (Kiểm toán),25.7,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM11,Kinh doanh quốc tế (Thương mại quốc tế),26.3,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM13,Kinh tế (Quản lý kinh tế),25.15,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM12,Kinh tế quốc tế (Kinh tế quốc tế),26.3,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM06,Logistics và Quản lý chuỗi cung ứng (Logistics và Quản lý chuỗi cung ứng),26.5,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM19,Luật kinh tế (Luật kinh tế),24.7,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM05,Marketing (Quản trị thương hiệu),26.15,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM04,Marketing (Marketing thương mại),26.7,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM18,Ngôn ngữ Anh (Tiếng Anh Thương mại),25.4,"A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM25,Quản trị dịch vụ du lịch và lữ hành - Cơ chế đặc thù,24.25,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM03,Quản trị dịch vụ du lịch và lữ hành (Quản trị dịch vụ du lịch và lữ hành),25.4,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM02,Quản trị khách sạn (Quản trị khách sạn),25.5,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM23,Quản trị nhân lực (Quản trị nhân lực doanh nghiệp),25.55,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM01,Quản trị kinh doanh (Quản trị kinh doanh),25.8,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM24,Quản trị khách sạn (Quản trị khách sạn) - Cơ chế đặc thù,24.6,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM21,Quản trị kinh doanh (Tiếng Trung thương mại),25.9,"A00, A01, D01, D04",2020
TMA,Đại học Thương mại,Hà Nội,TM20,Quản trị kinh doanh (Tiếng Pháp thương mại),24.05,"A00, A01, D01, D03",2020
TMA,Đại học Thương mại,Hà Nội,TM14,Tài chính - Ngân hàng (Tài chính – Ngân hàng thương mại),25.3,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM16,Tài chính - Ngân hàng (Tài chính công),24.3,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM15,Tài chính - Ngân hàng (TC-NH thương mại)-Chất lượng cao,24.0,"A00, A01, D01, D07",2020
TMA,Đại học Thương mại,Hà Nội,TM17,Thương mại điện tử (Quản trị Thương mại điện tử),26.25,"A00, A01, D01, D07",2020
HTC,Học viện Tài chính,Hà Nội,7340201C06,Hải quan & Logistics,31.17,"A01, D01, D07",2020
HTC,Học viện Tài chính,Hà Nội,7340405,Hệ thống thông tin,24.85,"A00, A01, D01, D07",2020
HTC,Học viện Tài chính,Hà Nội,7340301,Kế toán,26.2,"A00, A01, D01, D07",2020
HTC,Học viện Tài chính,Hà Nội,7310101,Kinh tế,24.7,"A01, D01, D07",2020
HTC,Học viện Tài chính,Hà Nội,7220201,Ngôn ngữ Anh,32.7,"A01, D01, D07",2020
HTC,Học viện Tài chính,Hà Nội,7340201C09,Phân tích tài chính,31.8,"A01, D01, D07",2020
HTC,Học viện Tài chính,Hà Nội,7340101,Quản trị Kinh doanh,25.5,"A00, A01, D01, D07",2020
HTC,Học viện Tài chính,Hà Nội,7340201C11,Tài chính doanh nghiệp,30.17,"A01, D01, D07",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510205,Công nghệ kỹ thuật ô tô,25.1,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510401,Công nghệ kỹ thuật hoá học,18.0,"A00, B00, D07",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7540203,Công nghệ vật liệu dệt. may,18.5,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480201,Công nghệ thông tin,25.6,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7540101,Công nghệ thực phẩm,21.05,"A00, B00, D07",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510206,Công nghệ kỹ thuật nhiệt,22.45,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480108,Công nghệ kỹ thuật máy tính,24.0,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510406,Công nghệ kỹ thuật Môi trường,18.05,"A00, B00, D07",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,26.0,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510203,Công nghệ kỹ thuật cơ điện tử,25.3,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7540204,Công nghệ may,22.8,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510301,"Công nghệ kỹ thuật điện, điện tử",24.1,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510201,Công nghệ kỹ thuật cơ khí (Chuyên ngành Công nghệ hàn),23.9,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7519003,Công nghệ kỹ thuật khuôn mẫu,21.5,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510302,Điện tử - viễn thông,23.2,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480104,Hệ thống thông tin,23.5,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340301,Kế toán,22.75,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480101,Khoa học máy tính,24.7,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340302,Kiểm toán,22.3,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7310104,Kinh tế đầu tư,22.6,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7520118,Kỹ thuật hệ thống công nghiệp,21.95,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480103,Kỹ thuật phần mềm,24.3,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7510605,Logistics và Quản lý chuỗi cung ứng,24.4,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7480102,Mạng máy tính và truyền thông dữ liệu,23.1,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340115,Marketing,24.9,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7220210,Ngôn ngữ Hàn Quốc,23.44,D01,2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7220201,Ngôn ngữ Anh,22.73,D01,2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7220209,Ngôn ngữ Nhật,22.4,"D01, D06",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7220204,Ngôn ngữ Trung Quốc,23.29,"D01, D04",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340406,Quản trị văn phòng,22.2,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340101,Quản trị Kinh doanh,23.55,"A00, A01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7810103,Quản trị dịch vụ du lịch và lữ hành,23.0,"A01, D01, D14",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340404,Quản trị nhân lực,24.2,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7810201,Quản trị khách sạn,23.75,"A01, D01, D14",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7340201,Tài chính – Ngân hàng,23.45,"A00, A01, D01",2020
DCN,Đại học Công nghiệp Hà Nội,Hà Nội,7210404,Thiết kế thời trang,22.8,"A00, A01, D01, D14",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN4,Cơ kỹ thuật,26.5,"A00, A01, D01",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN9,Công nghệ kỹ thuật điện tử - viễn thông,26.0,"A00, A01, D01",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN1,Công nghệ Thông tin,28.1,"A00, A01, D01",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN10,Công nghệ nông nghiệp*,22.4,"A00, A01, B00",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN6,Công nghệ kỹ thuật cơ điện tử,25.7,"A00, A01, D01",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN7,Công nghệ Hàng không vũ trụ,25.35,"A00, A01, D01",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN5,Công nghệ kỹ thuật xây dựng,24.0,"A00, A01, D01",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN8,Khoa học máy tính,27.0,"A00, A01, D01",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN11,Kỹ thuật điều khiển và tự động hóa,27.55,"A00, A01, D01",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN2,Máy tính và Robot,27.25,"A00, A01, D01",2020
QHI,Đại học Công nghệ - Đại học Quốc gia Hà Nội,Hà Nội,CN3,Vật lý kỹ thuật,25.1,"A00, A01, D01",2020
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220202,Ngôn ngữ Nga,31.37,"D01, D02, D78, D90",2020
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7220211,Ngôn ngữ Ả Rập,25.77,"D01, D14, D78, D90",2020
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140235,Sư phạm Tiếng Đức,31.85,"D01, D05, D78, D90",2020
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140231,Sư phạm Tiếng Anh,35.83,"D01, D14, D78, D90",2020
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140237,Sư phạm tiếng Hàn Quốc,35.87,"D01, D78, D90",2020
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140236,Sư phạm tiếng Nhật,35.66,"D01, D06, D78, D90",2020
QHF,Đại học Ngoại ngữ - Đại học Quốc Gia Hà Nội,Hà Nội,7140234,Sư phạm Tiếng Trung Quốc,36.08,"D01, D04, D78, D90",2020
QHY,Đại học Y Dược - Đại học Quốc Gia Hà Nội,Hà Nội,7720301,Điều dưỡng,24.9,B00,2020
QHY,Đại học Y Dược - Đại học Quốc Gia Hà Nội,Hà Nội,7720201,Dược học,26.7,A00,2020
QHY,Đại học Y Dược - Đại học Quốc Gia Hà Nội,Hà Nội,7720602,Kỹ thuật hình ảnh y học,25.15,B00,2020
QHY,Đại học Y Dược - Đại học Quốc Gia Hà Nội,Hà Nội,7720601,Kỹ thuật xét nghiệm y học,25.55,B00,2020
QHY,Đại học Y Dược - Đại học Quốc Gia Hà Nội,Hà Nội,7720501,Răng- Hàm -Mặt,27.2,B00,2020
QHY,Đại học Y Dược - Đại học Quốc Gia Hà Nội,Hà Nội,7720101,Y khoa,28.35,B00,2020
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE42,Kế toán (CLC),32.6,"A01, D01, D09, D10",2020
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE44,Kinh tế (CLC),32.47,"A01, D01, D09, D10",2020
QHE,Đại học Kinh Tế - Đại học Quốc Gia Hà Nội,Hà Nội,QHE45,Kinh tế phát triển (CLC),31.73,"A01, D01, D09, D10",2020
